brand_slug,brand_name,origem,total,verified_inci,pct_inci,termo_volume,termo_inci,motivo,observacao,url_atual,status_brand_json,priority
doona,Doona,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
doono,Doono,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dr-barbara-sturm,Dr. Barbara Sturm,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dr-hauschka,Dr. Hauschka,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dr-seed,Dr. Seed,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dr-zero,Dr ZERO,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ducray,Ducray,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
duetto-professional,Duetto Professional,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
eae-cosmeticos,Eaê Cosméticos,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ecosix-professional,Ecosix Professional,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ecosmetics,Ecosmetics,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
eico,Eico,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
eizz,EIZZ,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ekilibre-amazonia,Ekilibre Amazônia,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ekobe,Ekobé,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
eleven-australia,Eleven Australia,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
elfa-4men,Elfa 4men,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
eliana-mendes,Eliana Mendes,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
elisafer,Elisafer,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ellips,Ellips,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
elvis-elvin,Elvis + Elvin,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
emah-hair-care,Emáh Hair Care,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
embaixador,Embaixador,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
enzz-cosmetics,Enzz Cosmetics,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
eri-haircare,Eri Haircare,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
erven-cosmetics,Erven Cosmetics,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ervik,Ervik,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
escovas-evas,Escovas Evas,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
essencialmente-bela,Essencialmente Bela,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
essencials-profissional,Essencials Profissional,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
estoril-cosmeticos,Estoril Cosméticos,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
everlong,Everlong,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
evo,Evo,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
exo-hair,Exo Hair,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
expresso-mata-atlantica,Expresso Mata Atlântica,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
f-men-cosmetics,F-Men Cosmetics,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
fanola,Fanola,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
farmaervas,Farmaervas,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
fashion-gold,Fashion Gold,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
fast-escova,Fast Escova,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
fatboy,Fatboy,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
feito-pra-voce,Feito pra Você,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
felithi-pro,Felithi Pro,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
fgz-professional,FGZ Professional,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
fit-cosmetics,Fit Cosmetics,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
flama,Flama,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
floland,Floland,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
folha-nativa-cosmeticos,Folha Nativa Cosméticos,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
for-beauty,For Beauty,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
force-de-frizz,Force de Frizz,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
formalisa,Formalisa,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
fox-professional,Fox Professional,nacional,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
fudge,Fudge,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
fusion,Fusion,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
g-hair,G.Hair,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
garnier,Garnier,internacional,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ghd,GHD,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
gigita,Gigita,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
