brand_slug,brand_name,origem,total,verified_inci,catalog_only,kits,non_hair,pct_inci,termo_volume,termo_inci,status_geral,acao
1ka-hair,1Ka Hair,outras,83,1,82,0,5,1.2,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
agilise-cosmeticos,Agilise Cosméticos,nacional,81,54,27,0,1,66.7,🟡 atencao,🟡 media,🟠 PRECISA ATENCAO,Verificar atualizacao
retro-cosmeticos,Retrô Cosméticos,outras,81,35,38,0,0,43.2,🟡 atencao,🟡 media,🟠 PRECISA ATENCAO,Verificar atualizacao
probelle,PROBELLE,outras,76,4,72,1,4,5.3,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
mio-capelli,Mio Capelli,outras,75,29,46,0,21,38.7,🟡 atencao,🟠 baixa,🟠 PRECISA ATENCAO,Verificar atualizacao
batiste,Batiste,outras,75,4,71,0,10,5.3,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
mestre-dos-cachos,Mestre dos Cachos,outras,73,9,64,2,1,12.3,🟡 atencao,🟠 baixa,🟠 PRECISA ATENCAO,Verificar atualizacao
ativare,Ativare,outras,71,34,37,0,1,47.9,🟡 atencao,🟡 media,🟠 PRECISA ATENCAO,Verificar atualizacao
abela-cosmetics,Abela Cosmetics,outras,71,48,23,10,0,67.6,🟡 atencao,🟡 media,🟠 PRECISA ATENCAO,Verificar atualizacao
k-bell,K-Bell,outras,71,0,71,0,0,0.0,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
phytobelle,Phytobelle,outras,70,2,68,1,0,2.9,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
lana-brasiles,Lana Brasiles,outras,67,2,65,0,1,3.0,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
aramath-cosmeticos,Aramath Cosméticos,nacional,63,42,16,6,0,66.7,🟡 atencao,🟡 media,🟠 PRECISA ATENCAO,Verificar atualizacao
mustela,Mustela,outras,62,32,27,0,19,51.6,🟡 atencao,🟡 media,🟠 PRECISA ATENCAO,Verificar atualizacao
granado,Granado,outras,61,57,4,2,25,93.4,🟡 atencao,🟢 boa,🟠 PRECISA ATENCAO,Verificar atualizacao
pantene,Pantene,internacional,58,44,14,0,4,75.9,🟡 atencao,🟢 boa,🟠 PRECISA ATENCAO,Verificar atualizacao
amazonico-care,Amazônico Care,outras,58,15,43,0,0,25.9,🟡 atencao,🟠 baixa,🟠 PRECISA ATENCAO,Verificar atualizacao
b-hulmann,B. Hulmann,outras,52,16,36,0,2,30.8,🟡 atencao,🟠 baixa,🟠 PRECISA ATENCAO,Verificar atualizacao
soul-cosmeticos,Soul Cosméticos,outras,52,0,52,0,0,0.0,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
mazavie-cosmetics,Mazavie Cosmetics,outras,50,0,50,0,0,0.0,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
barba-de-respeito,Barba de Respeito,outras,46,0,46,0,0,0.0,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
salunat,Salunat,outras,46,30,16,0,0,65.2,🟡 atencao,🟡 media,🟠 PRECISA ATENCAO,Verificar atualizacao
brscience-profissional,Brscience Profissional,outras,46,2,44,0,2,4.3,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
laby,Laby,outras,45,3,42,2,5,6.7,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
okyo,Okyo,outras,42,26,16,0,3,61.9,🟡 atencao,🟡 media,🟠 PRECISA ATENCAO,Verificar atualizacao
bemgloria,Bemgloria,outras,42,0,42,0,0,0.0,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
dr-jack,Dr Jack,outras,41,0,35,0,5,0.0,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
alpha-line,Alpha Line,outras,41,19,22,4,0,46.3,🟡 atencao,🟡 media,🟠 PRECISA ATENCAO,Verificar atualizacao
barba-robusta,Barba Robusta,outras,41,9,32,0,3,22.0,🟡 atencao,🟠 baixa,🟠 PRECISA ATENCAO,Verificar atualizacao
sense-brasil,Sense Brasil,outras,41,0,41,0,0,0.0,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
balai,Balai,outras,40,20,19,0,1,50.0,🟡 atencao,🟡 media,🟠 PRECISA ATENCAO,Verificar atualizacao
malina-beauty,Malina Beauty,outras,36,35,1,3,11,97.2,🟡 atencao,🟢 boa,🟠 PRECISA ATENCAO,Verificar atualizacao
descomplica-curvas,Descomplica Curvas,outras,34,11,23,0,0,32.4,🟡 atencao,🟠 baixa,🟠 PRECISA ATENCAO,Verificar atualizacao
hiato-fitocosmeticos,Hiato Fitocosméticos,outras,33,7,26,0,2,21.2,🟡 atencao,🟠 baixa,🟠 PRECISA ATENCAO,Verificar atualizacao
kpriche-professional,Kpriche Professional,outras,33,11,22,4,0,33.3,🟡 atencao,🟠 baixa,🟠 PRECISA ATENCAO,Verificar atualizacao
menina-e-mulher-cosmeticos,Menina e Mulher Cosméticos,outras,33,17,13,0,17,51.5,🟡 atencao,🟡 media,🟠 PRECISA ATENCAO,Verificar atualizacao
nordic-smells,Nordic Smells,outras,33,2,31,0,2,6.1,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
tresemme,TRESemmé,internacional,32,32,0,0,0,100.0,🟡 atencao,🟢 boa,🟠 PRECISA ATENCAO,Verificar atualizacao
beleza-ruiva,Beleza Ruiva,outras,32,25,7,3,3,78.1,🟡 atencao,🟢 boa,🟠 PRECISA ATENCAO,Verificar atualizacao
bendita-canfora,Bendita Cânfora,outras,32,0,32,0,0,0.0,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
kah-noa,Kah-Noa,outras,27,9,18,0,1,33.3,🟡 atencao,🟠 baixa,🟠 PRECISA ATENCAO,Verificar atualizacao
barba-de-macho,Barba De Macho,outras,26,1,25,0,0,3.8,🟡 atencao,🔴 zerada,🔴 SEM INCI,Verificar atualizacao
wella,Wella,internacional,23,9,13,0,0,39.1,🟠 critico,🟠 baixa,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
imunehair,Imunehair,outras,21,21,0,5,0,100.0,🟠 critico,🟢 boa,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
veggue-profissional,Veggue Profissional,outras,21,8,13,0,0,38.1,🟠 critico,🟠 baixa,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
cia-da-barba,Cia da Barba,outras,21,1,20,0,0,4.8,🟠 critico,🔴 zerada,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
rainha-dos-cachos,Rainha dos Cachos,outras,18,8,10,1,0,44.4,🟠 critico,🟡 media,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
breany-liss,Breany Liss,outras,16,0,16,0,0,0.0,🟠 critico,🔴 zerada,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
aussie,Aussie,outras,16,12,4,0,0,75.0,🟠 critico,🟢 boa,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
fabulosa-lizz,Fabulosa Lizz,outras,13,2,11,1,0,15.4,🟠 critico,🟠 baixa,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
bio-instinto,Bio Instinto,outras,11,11,0,5,3,100.0,🟠 critico,🟢 boa,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
new-hair,New Hair,outras,11,6,5,2,5,54.5,🟠 critico,🟡 media,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
my-brush,My Brush,outras,9,4,5,1,0,44.4,🟠 critico,🟡 media,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
sos-frizz,Sos Frizz,outras,6,5,1,1,0,83.3,🟠 critico,🟢 boa,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
head-and-shoulders,Head and Shoulders,internacional,5,0,5,0,0,0.0,🟠 critico,🔴 zerada,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
oriente-life,Oriente Life,outras,5,0,0,0,0,0.0,🟠 critico,🔴 zerada,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
qod,QOD,outras,5,0,0,0,0,0.0,🟠 critico,🔴 zerada,🔴 CRITICO,RE-SCRAPE (catalogo encolhido)
